Name,Bronze,Gold,Silver,Total
Nathaniel James "Nate" Dusing,1,0,1,2
Natsumi Hoshi,2,0,0,2
Neil Cochran,2,0,0,2
Nelson W. Diebel,0,2,0,2
Neville Ronald Hayes,0,0,2,2
Nicholas "Nick" Gillingham,1,0,1,2
Nicholas Brewer "Nick" Thoman,0,1,1,2
Nikita Konstantinovich Lobintsev,1,0,1,2
Nikolay Ivanovich Pankin,2,0,0,2
Nikolay Sergeyevich Yevseyev,1,0,1,2
Nina Alexandrovna Zhivanevskaya Ilichiova,2,0,0,2
Nobutaka Taguchi,1,1,0,2
Nomi Ildiko Lung,1,0,1,2
PALTRINIERI Gregorio,1,0,1,2
POPOVICI David,1,1,0,2
Patrick Murphy,2,0,0,2
Paul H. (-Paul Knuth) Wyatt,1,0,1,2
Pavlo Viktorovych Khnykin,0,0,2,2
Pernille Blume,1,1,0,2
Perry McGillivray,0,1,1,2
Peter Nocke,2,0,0,2
Petra Priemer (-Brinkmann),0,0,2,2
Petra Schneider (-Kind),0,1,1,2
"Petra Thmer (-Deckert, -Katzur)",0,2,0,2
Philip John "Phil" Rogers,2,0,0,2
Pua Kele Kealoha,0,1,1,2
QIN Haiyang,0,1,1,2
Qian Hong,1,1,0,2
RICHARDS Matthew,0,1,1,2
Rachel Komisarz,0,1,1,2
Rainer Henkel,1,0,1,2
Rebecca Gwendolyn "Becky" Smith (-Wiber),2,0,0,2
Reiko Nakamura,2,0,0,2
Reizo Koike,1,0,1,2
Richard Alan "Rich" Schroeder,0,2,0,2
Roger Pyttel,1,0,1,2
Roman Nikolayevich Yegorov,0,0,2,2
Ronald Parker "Ronnie" Mills,1,1,0,2
Rosemarie Kother-Gabriel,1,1,0,2
Roswitha Beier (-Sonntag),0,0,2,2
Roy Allen Saari,0,1,1,2
Ryan Andrew Cochrane,1,0,1,2
SCOTT Duncan,0,1,1,2
SHACKELL Alex,0,1,1,2
SJOESTROEM Sarah,0,2,0,2
SMITH Tatjana,0,1,1,2
SOUTHAM Flynn,1,0,1,2
STUBBLETY-COOK Zac,1,0,1,2
SWANSON Charlie,0,1,1,2
Sandra Anne Morgan (-Beavis),0,1,1,2
Sara Harstick,2,0,0,2
Sarah Lucy Hardcastle (-Thomas),1,0,1,2
Sarina Hlsenbeck (-Fischer),0,2,0,2
Scott Andrew Miller,1,0,1,2
Scott Daniel Goldblatt,0,1,1,2
Scott Eric Tucker,0,1,1,2
Semyon Viktorovich Belits-Geyman,1,0,1,2
Sergey Gusev,1,0,1,2
Serhiy Leonidovych Fesenko,0,1,1,2
Serhiy Oleksandrovych Krasiuk,0,1,1,2
Shan Ying,1,0,1,2
Sharon Lynn Wichman (-Jones),1,1,0,2
Shaun M. Jordan,0,2,0,2
Shayne Leanne Reese,1,1,0,2
Shelley Isabel Mann,0,1,1,2
Shigeo Arai,1,1,0,2
Shozo Makino,1,0,1,2
Shunpei Uto,1,0,1,2
Stefano Battistelli,2,0,0,2
Stephen K. "Steve" Lundquist,0,2,0,2
Stephen Karl "Steve" Rerych,0,2,0,2
Stev Theloke,2,0,0,2
Stphan Malcolm Caron,2,0,0,2
Susan Gerard Rapp (-von der Lippe),0,1,1,2
Susanne Marie "Susan" Shields (-White),1,1,0,2
Svetlana Viktorovna Babanina,2,0,0,2
TAYLOR Kai,1,0,1,2
Takashi Yamamoto,1,0,1,2
Takuro Fujii,1,0,1,2
Tarnee Renee White (-Southwell),0,1,1,2
Taylor Madison Ruck,2,0,0,2
Tefilo E. Yldefonso,2,0,0,2
Theresa Andrews,0,2,0,2
Thomas Andrew "Tom" Malchow,0,1,1,2
Thomas Edwin "Tom" Bruce,0,1,1,2
Thomas Flemming,1,0,1,2
Thomas Peter Lurz,1,0,1,2
Thomas Rupprath,1,0,1,2
Thomas Sean "Tom" McBreen,1,1,0,2
Thomas Sydney Battersby,1,0,1,2
"Tiffany Lisa Cohen (-Adams, -Lalonde)",0,2,0,2
Timothy Andrew "Tim" Shaw,0,1,1,2
Tomomi Morita,2,0,0,2
Troy Lane Dalbey,0,2,0,2
Ulrike Tauber (-Lebek),0,1,1,2
Ursula "Ursel" Brunner (-Wirth),2,0,0,2
Ute Geweniger (-Strauss),0,2,0,2
Vadym Maksymovych Yaroshchuk,2,0,0,2
Veniamin Igorevich Tayanovich,0,1,1,2
Viktor Aleksandrovich Kuznetsov,0,0,2,2
Viktor Andreyevich Aboimov,1,0,1,2
Virginia Ruth "Ginny" Duenkel,1,1,0,2
Volodymyr Serhiyovych Raskatov,1,0,1,2
WEITZEIL Abbey,0,1,1,2
WIFFEN Daniel,1,1,0,2
WINNINGTON Elijah,1,0,1,2
WU Qingfeng,2,0,0,2
"Wallace Perry ""Wally"" Wolf, Jr.",0,2,0,2
Walter Bathe,0,2,0,2
Walter Brack,0,1,1,2
Walter Laufer,0,1,1,2
Walter Stephen "Wally" Ris,0,2,0,2
Warren Daniels Kealoha,0,2,0,2
Werner Lampe,1,0,1,2
William "Willie" Foster,1,1,0,2
"William Douglas ""Tripp"" Schwenk, III",0,1,1,2
"William Melvin ""Bill"" Smith, Jr.",0,2,0,2
William Roy Johnson,0,2,0,2
William Tripp "Bill" Woolsey,0,1,1,2
YU Yiting,2,0,0,2
Yang Yu,0,0,2,2
Yasuji Miyazaki,0,2,0,2
Ye Shiwen,0,2,0,2
Yelena Grigoryevna Rudkovskaya,1,1,0,2
Yevgeny Aleksandrovich Lagunov,1,0,1,2
Yoshihiko Osaki,1,0,1,2
Yoshiyuki Tsuruta,0,2,0,2
Zoltn Verraszt,1,0,1,2
gnes Kovcs,1,1,0,2
ura "urica" Bjedov,0,1,1,2
va Szkely (-Gyarmati),0,1,1,2
Aartje Elisabeth "Adrie" Lasterie,0,0,1,1
Adelaide T. Lambert (-Ballard),0,1,0,1
Adolph Gustav Kiefer,0,1,0,1
Adrian David Moorhouse,0,1,0,1
Adriana "Diane" van der Plaats,0,0,1,1
Agnes Geraghty (-McAndrews),0,0,1,1
Agnieszka Ewa Czopek (-Sadowska),1,0,0,1
Ai Shibata,0,1,0,1
Aileen Muriel Riggin (-Soule),1,0,0,1
Aimo-Rhys Heilmann,1,0,0,1
Alain Herms Robert Mosconi,1,0,0,1
Alan McClatchey,1,0,0,1
Alan Robert Ford,0,0,1,1
Albert Joseph "Al" Vande Weghe,0,0,1,1
Albert L. Schwartz,1,0,0,1
Albn Vermes,0,0,1,1
Aldo Eminente,1,0,0,1
Aleksandr Nikolayevich Sukhorukov,0,0,1,1
Aleksandr Olegovich Fedorovsky,0,0,1,1
Aleksandr Vasilyevich Samsonov,1,0,0,1
Aleksandr Yuryevich Chayev,0,0,1,1
Aleksey Valentinovich Kudryavtsev,0,1,0,1
Aleksey Viktorovich Markovsky,0,0,1,1
Alessia Filippi,0,0,1,1
Alexander Dale Oen,0,0,1,1
Alexander Lderitz,1,0,0,1
Alexander Schowtka,0,0,1,1
Alice W. Bridges (-Roche),1,0,0,1
Alla Vladimirovna Grishchenkova,1,0,0,1
Allen McIntyre Stack,0,1,0,1
Allison Ann Higson (-Cavanaugh),1,0,0,1
Allison Marie Wagner,0,0,1,1
Alva Merlin Colquhoun,0,0,1,1
Alyssa Jean Anderson,0,1,0,1
Amber Gerganiya Beckitt (-Shelley),0,0,1,1
"Amedee Valle Reyburn, Jr.",1,0,0,1
Amy Lee White (-Ballidis),0,0,1,1
Anastasiya Valeryevna Zuyeva-Fesikova,0,0,1,1
Anders Christer Lyrbring,0,0,1,1
Andr Jules Henri Six,0,0,1,1
Andrea Eife (-Gemsleben),0,0,1,1
Andrea Nugent,1,0,0,1
Andreas Szigat,1,0,0,1
Andrew "Andy" Astbury,1,0,0,1
Andrew David "Andy" Jameson,1,0,0,1
Andrew Edward Strenk,0,1,0,1
Andrey Nikolayevich Bogdanov,0,0,1,1
Andrey Nikolayevich Korneyev,1,0,0,1
Andrey Vladimirovich Grechin,1,0,0,1
Andriy Viktorovych Serdinov,1,0,0,1
Andrs Hargitay,1,0,0,1
Andrs Szkely,1,0,0,1
Andrs Wani,1,0,0,1
Aneta "Anca" Ptrcoiu,1,0,0,1
"Angela Denise Coughlan (-Arusoo, -Sharp)",1,0,0,1
Angela Kennedy,0,0,1,1
Angela Steinbach,1,0,0,1
Angelika Kraus,1,0,0,1
Anita Carina Ljungdahl (-Algotsson),0,0,1,1
Anita Lonsbrough (-Porter),0,1,0,1
Anke Mhring,1,0,0,1
Anke Scholz,0,0,1,1
Ann Osgerby,0,0,1,1
Anna Helena Peterson (-Bernhard),0,0,1,1
Anna Josefin Lillhage (-stblom),1,0,0,1
Anna-Karin Simone Kammerling,1,0,0,1
Annabel Kosten,1,0,0,1
Anne Kindel Warner (-Cribbs),0,1,0,1
Anne Poleska (-Urban),1,0,0,1
Annegret Kober (-Schrder),1,0,0,1
Annelies Maas (-Kraus),1,0,0,1
Annette Elizabeth Salmeen,0,1,0,1
Annette Hadding,1,0,0,1
Annie Coupe Speirs (-Coombe),0,1,0,1
Anthony Robin LeClerc Mosse,1,0,0,1
Anton Mikhaylovich Chupkov,1,0,0,1
Antonios Pepanos,0,0,1,1
Antony Matkovich,0,0,1,1
Antti Alexander Kasvio,1,0,0,1
Arno Bieberstein,0,1,0,1
Artur Wojdat,1,0,0,1
Arvydas Juozaitis,1,0,0,1
Ashley Ann Whitney,0,1,0,1
Ashley Jason "Ash" Delaney,0,0,1,1
Astrid Strau,0,0,1,1
Austin Rhone Clapp,0,1,0,1
BIRD Kieran,0,1,0,1
Barbara Ann Marshall,0,1,0,1
Barbara Gbel (-Ballerstedt),1,0,0,1
Barbara Jane "B. J." Bedford (-Miller),0,1,0,1
Barbara Lynne Clark (-Parolin),1,0,0,1
Beatrice "Nancy" Lyons (-Welch),0,0,1,1
Benjamin Marshall "Ben" Wildman-Tobriner,0,1,0,1
Benny Leo Nielsen,0,0,1,1
Berith Agneta Eriksson,0,0,1,1
Bernice Ruth Lapp (-Squier),1,0,0,1
Berta Zahourek (-Blaha),1,0,0,1
Bettina Ustrowski,0,0,1,1
Bjrn Zikarsky,1,0,0,1
Bla von Las-Torres,0,0,1,1
Blair Catherine Evans,0,0,1,1
Blake Pieroni,0,1,0,1
Boglrka Kaps,1,0,0,1
Boris Nik'it'ini,1,0,0,1
Boris Steimetz,0,0,1,1
Bowen Dow Stassforth,0,0,1,1
Bradford Paul "Brad" Cooper,0,1,0,1
Bradley Michael "Brad" Bridgewater,0,1,0,1
Brbel Fuhrmann (-von Fircks),1,0,0,1
Breeja Larson,0,1,0,1
Brenda Mersereau Helser (-de Morelos),0,1,0,1
Brent Dennis Lang,0,1,0,1
Brent Matthew Hayden,1,0,0,1
Brian Brinkley,1,0,0,1
Brian Gregory Job,1,0,0,1
Brittany MacLean,1,0,0,1
Bronte Campbell,0,1,0,1
Burwell Otis "Bumpy" Jones,0,1,0,1
CAMPBELL Bronte,0,1,0,1
CARTWRIGHT Jack,0,0,1,1
CHENG Yujie,1,0,0,1
CHRISTOU Apostolos,0,0,1,1
CONNOLLY Erika,0,0,1,1
CONTE BONIN Paolo,1,0,0,1
CORBEAU Caspar,1,0,0,1
CURRY Brooks,0,0,1,1
Cai Huijue,1,0,0,1
Caitlin Leverenz,1,0,0,1
Camelia Alina Potec,0,1,0,1
Cameron John "Cam" Henning,1,0,0,1
Camille Wright (-Thompson),0,0,1,1
Carin Alice Cone (-Vanderbush),0,0,1,1
Carin Maria Nilsson (-Lommerin),1,0,0,1
Carlos Alberto Borges Jayme,1,0,0,1
Carly Piper (-Ryan),0,1,0,1
Carola Nitschke (-Beraktschjan),0,1,0,1
Caroline Stillwell Burckle,1,0,0,1
Cassandra Lily "Cassie" Patten,1,0,0,1
Catharina Bernadetta Jacoba "Tineke" Lagerberg,1,0,0,1
Catharina Johanna "Toos" Beumer (-Krediet),1,0,0,1
Catharina Wilhelmina "Tini" Wagner (-Boekhorst),0,1,0,1
Catherine "Cathie" Gibson (-Brown),1,0,0,1
Catherine Northcutt "Catie" Ball (-Condon),0,1,0,1
Catherine Yvonne Madeleine Poirot (-Srandour),1,0,0,1
Cathleen Rund (-Gromann),1,0,0,1
Chad Robb Carvin,0,0,1,1
Chantal Jean Van Landeghem,1,0,0,1
Chao Na,0,0,1,1
Charles "Charlie" Houchin,0,1,0,1
Charles Devendeville,0,1,0,1
"Charles George Hutter, Jr.",0,0,1,1
Charlotte "Lotte" Mhe (-Eschrich),1,0,0,1
Charlotte Bonnet,1,0,0,1
Charlotte Helen Radcliffe,0,0,1,1
Chase Tyler Kalisz,0,0,1,1
Chen Yan,1,0,0,1
Cheryl Ann Gibson (-Brokop),0,0,1,1
Christel Steffin (-Schulz),1,0,0,1
Christian Keller,1,0,0,1
"Christiane Knacke (-Driesener, -Sommer)",1,0,0,1
Christiane Pielke,1,0,0,1
Christine "Kiki" Caron (-Garin),0,0,1,1
Christine Herbst (-Paulick),0,0,1,1
Christine Irene Marshall,1,0,0,1
Christophe Lee "Chris" Thompson,1,0,0,1
Christopher Carl "Chris" Cavanaugh,0,1,0,1
Christopher James "Chris" Walker-Hebborn,0,0,1,1
Christopher John "Chris" Fydler,0,1,0,1
Christopher W. T. "Chris" Woo,0,1,0,1
Cierra Runge,0,1,0,1
Claes ke Borg,1,0,0,1
Claire Christine Donahue,0,1,0,1
Clara "Clare" Dennis (-Golding),0,1,0,1
Clark Smith,0,1,0,1
Clarke Currie Scholes,0,1,0,1
Claudia Hempel (-Thamke),0,0,1,1
Clayton T. "Clay" Evans,0,0,1,1
Clment Mignon,0,0,1,1
Colleen Lanne,0,0,1,1
Connor Jaeger,0,0,1,1
Coralie Balmy,1,0,0,1
"Cornelia ""Corrie"" Ladd (-Voogd, -Bakhuizen)",0,0,1,1
Cornelia Polit (-Embacher),0,0,1,1
Craig Julian Stevens,0,0,1,1
"Cynthia Lee ""Sippy"" Woodhead (-Kantzer, -Brennan)",0,0,1,1
Cynthia Lee Goyette (-Shroeder),0,1,0,1
Cyro Marques Delgado,1,0,0,1
DEAN Tom,0,1,0,1
DEPLANO Leonardo,1,0,0,1
Dai Jun,1,0,0,1
Daichi Suzuki,0,1,0,1
Daiya Seto,1,0,0,1
Dana Jayne Shrader (-Butler),0,1,0,1
Dana Lee Schoenfield,0,0,1,1
Daniel "Dan" Ketchum,0,1,0,1
Daniel "Dan" Wallace,0,0,1,1
Daniel Lee "Dan" Harrigan,1,0,0,1
Daniela Brendel,0,0,1,1
Daniela Gtz,1,0,0,1
Darian Roy Townsend,0,1,0,1
David "Dave" Walters,0,1,0,1
David Ashley Fox,0,1,0,1
David Chandler "Dave" Lyons,0,1,0,1
David Erwin Larson,0,1,0,1
David Holmes "Dave" Edgar,0,1,0,1
David King Young,0,1,0,1
David Lee "Dave" Wharton,0,0,1,1
David Lowe,1,0,0,1
David Lpez-Zubero Purcell,1,0,0,1
David Michael Dunne,1,0,0,1
David Morgan,1,0,0,1
David Thurwell Hammond,0,0,1,1
Davide Rummolo,1,0,0,1
Davis Edward Tarwater,0,1,0,1
Deena Diane Deardurff (-Schmidt),0,1,0,1
Denis Sergeyevich Pimankov,0,0,1,1
Denys Olehovych Sylantiev,0,0,1,1
Detlev Grabs,0,0,1,1
Dimitrios Drivas,1,0,0,1
"Dina Willemina Jacoba ""Nida"" Senff (-Scheffer, -Couturier)",0,1,0,1
Dirk Braunleder,1,0,0,1
Dirk Korthals,0,0,1,1
Dirkje Johanna "Desi" Reijers,0,0,1,1
Djan Garrido Madruga,1,0,0,1
Dmitry Igorevich Balandin,0,1,0,1
Dmitry Mikhaylovich Lepikov,0,1,0,1
Donald Alexander "Don" Sheff,0,1,0,1
Donald Graham Smith,0,0,1,1
Donna-Marie Gurr,1,0,0,1
Dsir Alfred Mrchez,1,0,0,1
Duje Draganja,0,0,1,1
Dyana Jane Calub,0,0,1,1
Edeltraud Koch (-Rken),1,0,0,1
Edgar Holmes Adams,0,0,1,1
Edna Tildesley Hughes (-Redwood),1,0,0,1
Edvaldo Valrio da Silva Filho,1,0,0,1
Edward Percival "Percy" Peter,1,0,0,1
Edwin Fisher Eddie Gilbert,0,1,0,1
Efstathios Khorafas,1,0,0,1
Elaine Breeden (-Penrose),0,0,1,1
"Eleanor G. Holm (-Jarret, -Rose, -Walker, -Whalen)",0,1,0,1
Elemr Szathmry,0,0,1,1
Elizabeth Cynthia "Beth" Barr (-Isaak),0,0,1,1
Elizabeth Evadna "Betty" Brey (Mullen-),0,0,1,1
Elizabeth Fraser (-Walker),0,1,0,1
Elizabeth Jane "Janie" Wagstaff,0,1,0,1
Elizabeth Mary Ryan,1,0,0,1
Elka Graham (-Whalan),0,0,1,1
Elke Sehmisch,0,0,1,1
Elles Voskes,0,0,1,1
Else Agnes Ella Jacobsen (-Baade),1,0,0,1
Elvi Johanne Svendsen (-Carlsen),0,0,1,1
Emanuele Erminio Merisi,1,0,0,1
Emiliano Brembilla,1,0,0,1
Emily Overholt,1,0,0,1
Emily Susan Silver,0,0,1,1
Emma Clare Johnson,1,0,0,1
Emmy Gunilla "Emy" Machnow (-Almberg),1,0,0,1
Eric Lee Shanteau,0,1,0,1
Erik Hochstein,1,0,0,1
Erik J. Fish,1,0,0,1
Erika Eloise Bricker (-Holderith),0,1,0,1
Erin Ashley Phenix,0,1,0,1
Ernst Friedrich Bahnmeyer,0,0,1,1
Ernst Lhrsen,0,1,0,1
Ernst-Joachim Kppers,0,0,1,1
Erwin Sietas,0,0,1,1
Eugene Roy Rogers,0,1,0,1
"Euphrasia Louise ""Fraze"" Donnelly (-Bungard, -Berlin)",0,1,0,1
Eva Johanne Arndt-Riise,0,0,1,1
Eva-Maria ten Elsen (-Hartmann),1,0,0,1
FENTE--DAMERS Rafael,1,0,0,1
FRIGO Manuel,1,0,0,1
Federico Cappellazzo,1,0,0,1
Felipe Muoz Kapamas,0,1,0,1
Ferry Weertman,0,1,0,1
Filippo Magnini,1,0,0,1
Florence Barker,0,0,1,1
Folkert Meeuw,0,0,1,1
Francis Townley Haas,0,1,0,1
Franck Simon Esposito,1,0,0,1
Frank Baltrusch,0,0,1,1
Frank Ewen Booth,0,0,1,1
Frank Khne,0,0,1,1
Frank Martin Dooley,0,1,0,1
Frank Pftze,0,0,1,1
"Frank Thomas ""Tom"" Winters, III",0,1,0,1
Frdric Andr Delcourt,0,0,1,1
Frdric Thierry Roger "Frd" Bousquet,0,0,1,1
Frdrik Edouard Robert "Fred" Deburghgraeve,0,1,0,1
Frederick "Fred" Holman,0,1,0,1
Frederick Daniel "Fred" Tyler,0,1,0,1
Frederick Munroe Bourne,1,0,0,1
Frederika Jacoba "Freddie" van der Goes,1,0,0,1
Fritz Albert Erich Rademacher,0,0,1,1
Fritze Wulff Carstensen (Nathansen-),0,0,1,1
Fu Yuanhui,1,0,0,1
GE Chutong,1,0,0,1
GEMMELL Erin,0,0,1,1
GIULIANI Maximillian,1,0,0,1
GOSE Isabel,1,0,0,1
GRIMES Katie,0,0,1,1
GROUSSET Maxime,1,0,0,1
GUY James,0,1,0,1
Gabriel Thomas "Gabe" Woodward,1,0,0,1
Gabriele Perthes,0,0,1,1
Gail Amundrud (-Beattie),1,0,0,1
Gail Neall (-Yeoh),0,1,0,1
Garnet Walter Ault,1,0,0,1
Gary Abraham,1,0,0,1
Gary J. Dilley,0,0,1,1
Gary Wayne MacDonald,0,0,1,1
Geertje Wielema,0,0,1,1
Gennady Nikolayevich Nikolayev,1,0,0,1
Geoffrey Lloyd "Geoff" Shipton,0,0,1,1
Geoffrey Steven "Geoff" Gaberino,0,1,0,1
Georg Hoffmann,0,0,1,1
George Ernest Morrison Henry,0,0,1,1
George Prifold Harrison,0,1,0,1
George Richard Lycott Bovell,1,0,0,1
George Robert Fissler,0,0,1,1
Georges Robert Flix Constant Leuillieux,1,0,0,1
"Georges-Urbain Vallerey, Jr.",1,0,0,1
Georgina Bardach Martin,1,0,0,1
Gerhard Schiller,0,0,1,1
Gilbert Fernand Charles Bozon,0,0,1,1
Gisela Wei (-Engelhardt),1,0,0,1
Gladys Helena Carson (-Hewitt),1,0,0,1
Glen Clifford Housman,0,0,1,1
Glenn Scott Patching,0,1,0,1
Glenn Stuart Beringen,0,0,1,1
Gordon Hunter Downie,1,0,0,1
Graeme Smith,1,0,0,1
Graeme Thomas Brewer,1,0,0,1
Graham Claude Windeatt,0,0,1,1
Graham Hamilton,0,1,0,1
Graham Ross White,0,0,1,1
Grant Tyson Brits,1,0,0,1
"Grard Blitz, Jr.",1,0,0,1
Gregorio Paltrinieri,0,1,0,1
Gregory Fenton "Greg" Buckingham,0,0,1,1
Gregory John "Greg" Brough,1,0,0,1
Gregory John "Greg" Fasala,0,0,1,1
Gregory Stewart "Greg" Burgess,0,0,1,1
Gudrun Wegner (-Wnsche),1,0,0,1
Gustav Lexau,0,1,0,1
Gwynne Evans,1,0,0,1
Gyrgy Tumpek,1,0,0,1
HEILMAN Thomas,0,0,1,1
HELD Ryan,0,1,0,1
Haley Cope (-Clark),0,0,1,1
Haley Danita Anderson,0,0,1,1
Han Xue,1,0,0,1
Hannah Stockbauer,1,0,0,1
Hans F. Dersch,0,1,0,1
Hans Peter Ludvig Dam,0,0,1,1
Hans-Gnther Vosseler,0,0,1,1
Hans-Joachim Fanacht,0,0,1,1
Hao Yun,1,0,0,1
Harold Edward Annison,1,0,0,1
Harold Thompson Mann,0,1,0,1
Harrison Smith "Harry" Glancy,0,1,0,1
Harry Maitland Hay,0,0,1,1
Hartmut Flckner,0,0,1,1
Haruka Ueda,1,0,0,1
Heidi Pechstein (-Kunze),1,0,0,1
Heike Dhne (-Mller),1,0,0,1
Heike Hustede-Nagel,1,0,0,1
Helen E. Wainwright (-Stelling),0,0,1,1
Helen Eileen Johns (-Carroll),0,1,0,1
Helen Gradwell Varcoe (-Nicholls),1,0,0,1
Helen Jameson,0,0,1,1
Helen Jennifer Denman,0,0,1,1
Helen Orr "Elenor" Gordon-McKay,1,0,0,1
Helga Lindner (-Hrtel),0,0,1,1
Helge Folkert Meeuw,0,0,1,1
"Henri Padou, Jr.",1,0,0,1
Henrik Hajs (Guttmann-),0,1,0,1
Henry Jamison "Jam" Handy,1,0,0,1
Heorhiy Yakovych Prokopenko,0,0,1,1
Herbert Klein,1,0,0,1
Herbert Nickall "Bert" Haresnape,1,0,0,1
Hermine Marie Stindt,0,0,1,1
Hilary Caldwell,1,0,0,1
Hilda Marjorie James (-McAllister),0,0,1,1
Hildegard "Hilde" Schrader (-Lux),0,1,0,1
Hiroshi Ishii,0,0,1,1
Hiroshi Yoneyama,0,0,1,1
Hisakichi Toyoda (-Minejima),0,1,0,1
Hisayoshi Sato,1,0,0,1
Hjrdis Viktoria Tpel,1,0,0,1
Horst Lffler,0,0,1,1
Huang Xiaomin,0,0,1,1
Hugo Louis Goetz,0,0,1,1
Hulda Gunhild Axelina "Gulli" Ewerlund (-Andersson),1,0,0,1
INCERTI Zac,1,0,0,1
Ilona Novk (-Popper),0,1,0,1
Imre Nyki,0,0,1,1
Imre Zachr,0,0,1,1
Ina Kleber (-Buttgereit),0,0,1,1
Ines Geiler (-Kaulfuss),0,1,0,1
Inge Srensen (-Tabur),1,0,0,1
Ingeborg Schmitz,0,0,1,1
Ingrid Lempereur,1,0,0,1
Ingrid Schmidt (-Naue),1,0,0,1
Ioannis Andreou,0,0,1,1
Ioannis Malokinis,0,1,0,1
Irene Steer (-Nicholson),0,1,0,1
Irina Anatolyevna Aksyonova,1,0,0,1
Iris Zscherpe,1,0,0,1
Isabella Mary Moore (-Cameron),0,1,0,1
J. Bertrand,0,0,1,1
Jacinta Van Lint,0,0,1,1
Jack George Neil Taylor,1,0,0,1
Jack Rikard Milton,1,0,0,1
Jack S. Horsley,1,0,0,1
Jacqueline Carol "Jackie" LaVine,1,0,0,1
Jade Neilsen,0,0,1,1
Jake Packard,1,0,0,1
James Alexander "Jimmy" Thompson,1,0,0,1
"James Crapo ""Jim"" Cristy, Jr.",1,0,0,1
James Richert "Jamie" Rauch,0,0,1,1
James Roberts,1,0,0,1
James Wallace "Wally" O'Connor,0,1,0,1
Jan Turner (-Becker),0,0,1,1
Jana Drries,0,0,1,1
Jana Henke,1,0,0,1
Jane Barbro Irne Cederqvist,0,0,1,1
Jane Hilda Charlotta Gylling (-Palm),1,0,0,1
Jane Louise Kerr (-Thompson),1,0,0,1
Janel Simone Jorgensen (-McArdle),0,0,1,1
Janette May "Jenny" Steinbeck (-Murray),0,0,1,1
Jani Nikanor Sievinen,0,0,1,1
Janice Murphy,0,0,1,1
Janina-Kristin Gtz,1,0,0,1
Jay Paul Mortenson,0,1,0,1
Jean Charles mile Taris,0,0,1,1
Jean Stewart (-Hurring),1,0,0,1
Jeanette Evelyn Myburgh,1,0,0,1
Jeanette Ottesen Gray,1,0,0,1
Jeanne Courtney Hallock (-Craig),0,1,0,1
Jeannette Morven Campbell (-Peper),0,0,1,1
Jedward Richard "Jed" Graef,0,1,0,1
Jeffrey James "Jeff" Float,0,1,0,1
Jennifer Jo "Jenny" Kempf,0,1,0,1
Jennifer Leigh Hooker (-Brinegar),0,1,0,1
Jenny Genoveva Maakal (-Thomas),1,0,0,1
Jessica Ashwood,0,0,1,1
Jiang Haiqi,1,0,0,1
Joan "Jody" Alderson (-Braskamp),1,0,0,1
Joan Ann Rosazza,0,0,1,1
Joan Cynthia Harrison (-Breetzke),0,1,0,1
Joanne Amy "Jo" Jackson,1,0,0,1
Joel Ladd Thomas,0,1,0,1
Johanna Katarina "Jopie" Selbach (-Ko),0,1,0,1
Johannes Drost,1,0,0,1
John "Jack" Conger,0,1,0,1
John Cary Mykkanen,0,0,1,1
John Griffith Davies,0,1,0,1
John James Monckton,0,0,1,1
John Joseph Macionis,0,0,1,1
John Lawson Hargis,0,1,0,1
John Rigby,1,0,0,1
John Sydney Ryan,1,0,0,1
Jonathan Thomas "Jon" Cleveland,1,0,0,1
Jorge Luiz Fernandes Leite,1,0,0,1
Josefine "Fini" Sticker,1,0,0,1
Joseph "Gunnar" Bentz,0,1,0,1
"Joseph Aloysius ""Joe"" Ruddy, Sr.",0,1,0,1
Joseph De Combe,0,0,1,1
